meeting_id,total_utterances,n_decisions,n_actions,decision_density,action_density,redundancy_score,action_clarity,efficiency_score
EN2001a,1675,1,31,0.0006,0.0185,0.191,0.1935,0.2485
EN2001b,986,0,12,0.0,0.0122,0.1663,0.1667,0.2538
EN2001d,1111,0,35,0.0,0.0315,0.1584,0.0,0.2619
EN2001e,1303,0,34,0.0,0.0261,0.1604,0.1471,0.2597
EN2002a,1367,3,22,0.0022,0.0161,0.1836,0.0455,0.2506
EN2002b,955,1,17,0.001,0.0178,0.1613,0.1176,0.2574
EN2002c,1469,0,23,0.0,0.0157,0.2362,0.0435,0.2338
EN2002d,1332,1,16,0.0008,0.012,0.217,0.3125,0.2388
EN2003a,799,1,22,0.0013,0.0275,0.2228,0.1364,0.2419
EN2004a,1415,1,17,0.0007,0.012,0.1936,0.1176,0.2458
EN2005a,1614,1,55,0.0006,0.0341,0.2621,0.0727,0.2318
EN2006a,1590,2,7,0.0013,0.0044,0.3151,0.0,0.2073
EN2006b,1445,2,7,0.0014,0.0048,0.3806,0.1429,0.1878
EN2009b,1010,0,23,0.0,0.0228,0.2406,0.087,0.2347
EN2009c,1262,0,37,0.0,0.0293,0.2219,0.0541,0.2422
EN2009d,2419,0,40,0.0,0.0165,0.3088,0.075,0.2123
ES2002a,387,0,2,0.0,0.0052,0.1473,0.5,0.2574
ES2002b,826,0,10,0.0,0.0121,0.1671,0.2,0.2535
ES2002c,807,2,6,0.0025,0.0074,0.1673,0.0,0.253
ES2002d,1057,3,7,0.0028,0.0066,0.2233,0.1429,0.2361
ES2003a,215,0,4,0.0,0.0186,0.0791,0.25,0.2819
ES2003b,583,0,9,0.0,0.0154,0.1235,0.0,0.2676
ES2003c,637,0,4,0.0,0.0063,0.1381,0.0,0.2604
ES2003d,760,1,4,0.0013,0.0053,0.1211,0.0,0.2658
ES2004a,361,1,7,0.0028,0.0194,0.1136,0.0,0.2729
ES2004b,688,3,6,0.0044,0.0087,0.141,0.0,0.2621
ES2004c,723,4,8,0.0055,0.0111,0.1189,0.125,0.2698
ES2004d,894,2,6,0.0022,0.0067,0.1913,0.1667,0.2455
ES2005a,113,0,1,0.0,0.0088,0.1062,1.0,0.2708
ES2005b,771,1,5,0.0013,0.0065,0.1751,0.2,0.2499
ES2005c,949,1,7,0.0011,0.0074,0.1865,0.4286,0.2467
ES2005d,637,2,8,0.0031,0.0126,0.168,0.75,0.2546
ES2006a,322,0,11,0.0,0.0342,0.1398,0.1818,0.2683
ES2006b,679,0,15,0.0,0.0221,0.1576,0.0,0.2594
ES2006c,759,2,7,0.0026,0.0092,0.2134,0.1429,0.2398
ES2006d,932,1,14,0.0011,0.015,0.2071,0.1429,0.2428
ES2007a,400,0,1,0.0,0.0025,0.0925,0.0,0.273
ES2007b,510,0,6,0.0,0.0118,0.0863,0.1667,0.2776
ES2007c,739,4,4,0.0054,0.0054,0.1218,0.0,0.2673
ES2007d,515,1,5,0.0019,0.0097,0.1359,0.0,0.2629
ES2008a,291,0,7,0.0,0.0241,0.0962,0.4286,0.2784
ES2008b,688,0,11,0.0,0.016,0.1497,0.0,0.2599
ES2008c,656,4,7,0.0061,0.0107,0.1189,0.1429,0.27
ES2008d,994,0,15,0.0,0.0151,0.1881,0.2667,0.2481
ES2009a,575,1,6,0.0017,0.0104,0.0887,0.0,0.2772
ES2009b,453,2,6,0.0044,0.0132,0.0905,0.0,0.2786
ES2009c,605,2,10,0.0033,0.0165,0.0678,0.1,0.286
ES2009d,782,3,10,0.0038,0.0128,0.1381,0.4,0.2639
ES2010a,221,0,10,0.0,0.0452,0.0633,0.0,0.2946
ES2010b,582,0,13,0.0,0.0223,0.1375,0.0769,0.2655
ES2010c,671,1,8,0.0015,0.0119,0.1192,0.0,0.2684
ES2010d,493,0,3,0.0,0.0061,0.1602,0.3333,0.2538
ES2011a,364,0,7,0.0,0.0192,0.1236,0.1429,0.2687
ES2011b,551,0,8,0.0,0.0145,0.1361,0.0,0.2635
ES2011c,594,0,10,0.0,0.0168,0.1364,0.0,0.2641
ES2011d,722,2,3,0.0028,0.0042,0.1468,0.0,0.2583
ES2012a,217,0,6,0.0,0.0276,0.0829,0.0,0.2834
ES2012b,565,0,10,0.0,0.0177,0.1133,0.3,0.2713
ES2012c,677,3,2,0.0044,0.003,0.1728,0.0,0.2508
ES2012d,315,0,4,0.0,0.0127,0.1365,0.0,0.2629
ES2013a,208,0,1,0.0,0.0048,0.1106,0.0,0.2683
ES2013b,574,3,10,0.0052,0.0174,0.0941,0.0,0.2791
ES2013c,620,6,8,0.0097,0.0129,0.129,0.125,0.269
ES2013d,575,4,10,0.007,0.0174,0.1235,0.0,0.271
ES2014a,290,2,1,0.0069,0.0034,0.1414,0.0,0.2614
ES2014b,719,0,8,0.0,0.0111,0.1975,0.0,0.2441
ES2014c,755,1,8,0.0013,0.0106,0.1815,0.125,0.2493
ES2014d,1047,1,7,0.001,0.0067,0.235,0.1429,0.2319
ES2015a,330,1,7,0.003,0.0212,0.1152,0.2857,0.273
ES2015b,952,2,11,0.0021,0.0116,0.1565,0.0909,0.2574
ES2015c,912,3,7,0.0033,0.0077,0.114,0.1429,0.2694
ES2015d,1078,1,12,0.0009,0.0111,0.1596,0.0,0.2558
ES2016a,360,0,8,0.0,0.0222,0.0833,0.5,0.2817
ES2016b,661,3,13,0.0045,0.0197,0.1362,0.1538,0.2669
ES2016c,562,3,6,0.0053,0.0107,0.0925,0.3333,0.2776
ES2016d,623,1,3,0.0016,0.0048,0.1413,0.0,0.2597
IB4001,731,0,3,0.0,0.0041,0.1956,0.0,0.2425
IB4002,771,0,9,0.0,0.0117,0.2399,0.5556,0.2315
IB4003,735,1,17,0.0014,0.0231,0.2027,0.5882,0.2467
IB4004,954,4,12,0.0042,0.0126,0.2474,0.5833,0.2312
IB4005,866,1,6,0.0012,0.0069,0.2587,0.1667,0.2249
IB4010,1352,0,6,0.0,0.0044,0.3151,0.5,0.2068
IB4011,1006,1,8,0.001,0.008,0.2803,0.5,0.2187
IN1001,1311,0,31,0.0,0.0236,0.2479,0.2903,0.2327
IN1002,941,0,19,0.0,0.0202,0.2434,0.4737,0.233
IN1005,858,0,11,0.0,0.0128,0.2016,0.2727,0.2434
IN1007,1242,1,17,0.0008,0.0137,0.2544,0.3529,0.2281
IN1008,1275,8,22,0.0063,0.0173,0.2235,0.4091,0.2406
IN1009,400,0,21,0.0,0.0525,0.16,0.0952,0.2678
IN1012,1340,2,12,0.0015,0.009,0.2388,0.25,0.2316
IN1013,1656,0,20,0.0,0.0121,0.2458,0.05,0.2299
IN1014,1342,4,52,0.003,0.0387,0.3271,0.3269,0.2147
IN1016,1533,0,42,0.0,0.0274,0.2642,0.119,0.229
IS1000a,544,0,9,0.0,0.0165,0.1397,0.4444,0.2631
IS1000b,719,0,15,0.0,0.0209,0.1794,0.5333,0.2524
IS1000c,623,0,7,0.0,0.0112,0.1477,0.4286,0.2591
IS1000d,1201,0,14,0.0,0.0117,0.2231,0.5714,0.2366
IS1001a,261,0,11,0.0,0.0421,0.1418,0.7273,0.2701
IS1001b,713,0,19,0.0,0.0266,0.1767,0.6316,0.255
IS1001c,479,3,7,0.0063,0.0146,0.1169,0.7143,0.2718
IS1001d,321,1,3,0.0031,0.0093,0.1869,1.0,0.248
IS1002b,737,1,11,0.0014,0.0149,0.1438,0.0909,0.2619
IS1002c,710,0,11,0.0,0.0155,0.1873,0.0909,0.2485
IS1002d,432,1,3,0.0023,0.0069,0.1667,0.0,0.253
IS1003a,299,0,16,0.0,0.0535,0.1873,0.375,0.2599
IS1003b,546,1,19,0.0018,0.0348,0.2418,0.8421,0.2386
IS1003c,690,0,21,0.0,0.0304,0.2087,0.5238,0.2465
IS1003d,1091,3,17,0.0027,0.0156,0.2786,0.5294,0.2222
IS1004a,167,0,4,0.0,0.024,0.0778,0.75,0.2838
IS1004b,632,1,8,0.0016,0.0127,0.1725,0.25,0.2527
IS1004c,774,3,14,0.0039,0.0181,0.2287,0.2143,0.2384
IS1004d,870,2,4,0.0023,0.0046,0.2241,0.0,0.2351
IS1005a,251,2,16,0.008,0.0637,0.1116,0.1875,0.2888
IS1005b,628,3,13,0.0048,0.0207,0.1465,0.4615,0.2642
IS1005c,577,4,11,0.0069,0.0191,0.1508,0.2727,0.2633
IS1006a,352,0,6,0.0,0.017,0.1818,0.1667,0.2506
IS1006b,677,1,13,0.0015,0.0192,0.195,0.2308,0.2479
IS1006c,686,2,13,0.0029,0.019,0.2012,0.3077,0.2465
IS1006d,1156,0,12,0.0,0.0104,0.2803,0.1667,0.219
IS1007a,326,0,5,0.0,0.0153,0.1902,0.2,0.2475
IS1007b,432,0,8,0.0,0.0185,0.1759,0.375,0.2528
IS1007c,655,0,6,0.0,0.0092,0.1344,1.0,0.2624
IS1007d,637,1,8,0.0016,0.0126,0.2229,0.375,0.2375
IS1008a,228,0,17,0.0,0.0746,0.1711,0.1176,0.2711
IS1008b,425,1,20,0.0024,0.0471,0.0988,0.2,0.2854
IS1008c,396,0,6,0.0,0.0152,0.1439,0.3333,0.2614
IS1008d,497,2,11,0.004,0.0221,0.1328,0.3636,0.2684
IS1009a,291,0,5,0.0,0.0172,0.1649,0.4,0.2557
IS1009b,603,0,11,0.0,0.0182,0.2687,0.0,0.2249
IS1009c,495,1,8,0.002,0.0162,0.2788,0.375,0.222
IS1009d,689,1,4,0.0015,0.0058,0.2438,0.0,0.2292
