meeting_id,total_utterances,n_decisions,n_actions,decision_density,action_density,redundancy_score,action_clarity,efficiency_score,cluster,cluster_label,pca_x,pca_y
EN2001a,1675,1,31,0.0006,0.0185,0.191,0.1935,0.2485,1,Low Efficiency,-0.17224830830597734,0.2176749062164633
EN2001b,986,0,12,0.0,0.0122,0.1663,0.1667,0.2538,1,Low Efficiency,-0.20032620741343338,-0.0428226575171911
EN2001d,1111,0,35,0.0,0.0315,0.1584,0.0,0.2619,0,Highly Efficient,0.7717235724155329,0.8173963879210868
EN2001e,1303,0,34,0.0,0.0261,0.1604,0.1471,0.2597,0,Highly Efficient,0.37358418941602434,0.80568012674713
EN2002a,1367,3,22,0.0022,0.0161,0.1836,0.0455,0.2506,1,Low Efficiency,0.40822164129448485,-0.639781709239697
EN2002b,955,1,17,0.001,0.0178,0.1613,0.1176,0.2574,1,Low Efficiency,0.3553447174398603,-0.02969299697434751
EN2002c,1469,0,23,0.0,0.0157,0.2362,0.0435,0.2338,1,Low Efficiency,-0.7657279701938501,-0.25659923668444745
EN2002d,1332,1,16,0.0008,0.012,0.217,0.3125,0.2388,1,Low Efficiency,-0.813794400685384,-0.029022596877101004
EN2003a,799,1,22,0.0013,0.0275,0.2228,0.1364,0.2419,1,Low Efficiency,-0.005584122225292699,0.41843096950856934
EN2004a,1415,1,17,0.0007,0.012,0.1936,0.1176,0.2458,1,Low Efficiency,-0.3057196196147074,-0.39632281944791264
EN2005a,1614,1,55,0.0006,0.0341,0.2621,0.0727,0.2318,1,Low Efficiency,-0.3394510684242503,0.7727289232903661
EN2006a,1590,2,7,0.0013,0.0044,0.3151,0.0,0.2073,1,Low Efficiency,-1.7383541591809668,-1.5590929284896393
EN2006b,1445,2,7,0.0014,0.0048,0.3806,0.1429,0.1878,1,Low Efficiency,-2.6740960100901785,-1.3781799101728391
EN2009b,1010,0,23,0.0,0.0228,0.2406,0.087,0.2347,1,Low Efficiency,-0.6306001274725533,0.28207104694918866
EN2009c,1262,0,37,0.0,0.0293,0.2219,0.0541,0.2422,1,Low Efficiency,-0.13945202834044595,0.6602451678189327
EN2009d,2419,0,40,0.0,0.0165,0.3088,0.075,0.2123,1,Low Efficiency,-1.6546814922707112,-0.2954254833287776
ES2002a,387,0,2,0.0,0.0052,0.1473,0.5,0.2574,0,Highly Efficient,-0.6385841720014034,0.31429758577731937
ES2002b,826,0,10,0.0,0.0121,0.1671,0.2,0.2535,1,Low Efficiency,-0.2560792864466451,0.024814182205834253
ES2002c,807,2,6,0.0025,0.0074,0.1673,0.0,0.253,1,Low Efficiency,0.43628492949984476,-1.3301293853308889
ES2002d,1057,3,7,0.0028,0.0066,0.2233,0.1429,0.2361,1,Low Efficiency,-0.3780469906805466,-1.2522661011839165
ES2003a,215,0,4,0.0,0.0186,0.0791,0.25,0.2819,0,Highly Efficient,0.9651213188762388,0.7453484693115459
ES2003b,583,0,9,0.0,0.0154,0.1235,0.0,0.2676,1,Low Efficiency,0.6396774349489723,-0.12441904804131641
ES2003c,637,0,4,0.0,0.0063,0.1381,0.0,0.2604,1,Low Efficiency,0.15082027613030138,-0.7329298351007751
ES2003d,760,1,4,0.0013,0.0053,0.1211,0.0,0.2658,1,Low Efficiency,0.6336213920278851,-1.0715684549465814
ES2004a,361,1,7,0.0028,0.0194,0.1136,0.0,0.2729,2,Moderately Efficient,1.5686202501386044,-0.5234925675775084
ES2004b,688,3,6,0.0044,0.0087,0.141,0.0,0.2621,2,Moderately Efficient,1.2543474273022492,-1.64700690949972
ES2004c,723,4,8,0.0055,0.0111,0.1189,0.125,0.2698,2,Moderately Efficient,1.7073651812038588,-1.42659361661938
ES2004d,894,2,6,0.0022,0.0067,0.1913,0.1667,0.2455,1,Low Efficiency,-0.16295820076923145,-0.9762940432601569
ES2005a,113,0,1,0.0,0.0088,0.1062,1.0,0.2708,0,Highly Efficient,-0.6595131652565371,1.770707148695392
ES2005b,771,1,5,0.0013,0.0065,0.1751,0.2,0.2499,1,Low Efficiency,-0.23301553962510518,-0.6605271003446601
ES2005c,949,1,7,0.0011,0.0074,0.1865,0.4286,0.2467,1,Low Efficiency,-0.6805388409512682,-0.06072012784615073
ES2005d,637,2,8,0.0031,0.0126,0.168,0.75,0.2546,0,Highly Efficient,-0.21036724943950882,0.558960640484917
ES2006a,322,0,11,0.0,0.0342,0.1398,0.1818,0.2683,0,Highly Efficient,0.8560282057703588,1.4431256819038818
ES2006b,679,0,15,0.0,0.0221,0.1576,0.0,0.2594,1,Low Efficiency,0.4583945086262714,0.22407041909689998
